timestamp,longitude_m,latitude_m
323083,6.887770,24.426457
323284,6.434489,24.190320
323484,5.814696,24.238285
323684,9.111008,24.566664
324885,4.601320,23.609200
325085,3.939899,23.539096
325286,3.383319,23.336166
325486,2.835989,23.253149
325686,2.259366,23.031769
325886,1.938677,22.839908
326086,1.107661,22.762425
326287,0.617377,22.458029
326487,0.091633,22.395305
326687,-0.663837,22.253253
326887,-1.127910,22.030029
327087,-1.673698,21.830788
327288,-2.237987,21.590961
327488,-2.748314,21.487651
330292,-8.499130,16.207761
330492,-8.747355,15.859089
330692,-9.371773,15.445848
330892,-9.596872,14.886866
334696,-17.557049,5.398930
334896,-18.079710,4.863930
335096,-18.475946,4.330776
335297,-19.129658,3.869570
335497,-19.519727,3.281070
335697,-19.929839,2.650140
